ID,SKU,Name,Manufacturer,Current Category,Suggested Category,Reason,Requires FFL
"183402","RSR-AGE10044-1758067475712","AGENCY CLASSIFIED 223WYLDE 16"" 30RD","Agency Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"183496","RSR-AGE10044-1758074671314","AGENCY CLASSIFIED 223WYLDE 16"" 30RD","Agency Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"184741","RSR-AGEDIT2-43-B-1758161104956","AGENCY DROP-IN TRIGGER FOR G43 BLK","Agency Arms","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"184185","RSR-AGEDIT2-43-B-1758125084366","AGENCY DROP-IN TRIGGER FOR G43 BLK","Agency Arms","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"184672","RSR-AGEDIT2-43-B-1758153879416","AGENCY DROP-IN TRIGGER FOR G43 BLK","Agency Arms","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"184099","RSR-AGEDIT2-43-B-1758089078956","AGENCY DROP-IN TRIGGER FOR G43 BLK","Agency Arms","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"184733","RSR-AGEBEN-M4-RAIL-1758161103781","AGENCY MDULR MLOK RAIL FOR BENLI M4","Agency Arms","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"184177","RSR-AGEBEN-M4-RAIL-1758125083168","AGENCY MDULR MLOK RAIL FOR BENLI M4","Agency Arms","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"184664","RSR-AGEBEN-M4-RAIL-1758153878251","AGENCY MDULR MLOK RAIL FOR BENLI M4","Agency Arms","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"184091","RSR-AGEBEN-M4-RAIL-1758089077805","AGENCY MDULR MLOK RAIL FOR BENLI M4","Agency Arms","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"154265","AGA1CHB1387","AGUILA MINISHELL 12GA #7.5 25/250","Aguila Ammunition","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154263","AGA1CHB1385","AGUILA MINISHELL 12GA 4 BUCK 25/250","Aguila Ammunition","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154264","AGA1CHB1386","AGUILA MINISHELL 12GA SLUG 25/250","Aguila Ammunition","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154475","ALG05-327","ALG AK TRIGGER - ULTIMATE","ALG Defense","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"154474","ALG05-326","ALG AK TRIGGER-ENHANCED","ALG Defense","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"154476","ALGACT","ALG COMBAT TRIGGER","ALG Defense","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"154477","ALGQMS","ALG QUALITY MIL-SPEC TRIGGER","ALG Defense","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"154509","ALN10940","ALLEN BATTALION SGL HG CS 10"" BLK","Allen Company","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154604","ALN3639","ALLEN DOUBLE PISTOL BAG BLACK","Allen Company","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154559","ALN15640","ALLEN EZAIM 12""X12"" TRIGGER FUN 9PK","Allen Company","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"154692","ALN9072","ALLEN GWG ROSE GOLD PISTOL CASE 10""","Allen Company","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154601","ALN3636","ALLEN NEOP PISTOL POUCH COMPACT FDE","Allen Company","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154603","ALN3638","ALLEN NEOP PISTOL POUCH FULLSIZE FDE","Allen Company","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154602","ALN3637","ALLEN NEOP PISTOL POUCH FULSIZ CHARC","Allen Company","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154600","ALN3628","ALLEN PISTOL POUCH FULL SIZE BLACK","Allen Company","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154693","ALN914-14","ALLEN ROLLINS DBL HANDGUN CASE GRAY","Allen Company","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154593","ALN27876","ALLEN RUGER CLEANING KIT UNI HANDGUN","Allen Company","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154590","ALN27821","ALLEN RUGER COMP HANDGUN CLEAN KIT","Allen Company","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154584","ALN27502","ALLEN RUGER PHOENIX PISTOL CASE 9""","Allen Company","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154592","ALN27836","ALLEN RUGER UNIV HANDGUN CLEAN KIT","Allen Company","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154599","ALN3616","ALLEN TORREY PISTOL CASE 11.5"" BLK","Allen Company","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154571","ALN18511","ALLEN UNIVERSAL TRIGGER LOCK","Allen Company","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"151175","85643","AMER CLSC BOBCUT 45ACP 8RD BLK","American Classic","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"151173","85624","AMER CLSC CMMNDR 9MM 4.25"" 9RD BLK","American Classic","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"151172","85607","AMER CLSC GOVT 1911 38SUP 5"" 9RD BLU","American Classic","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"151171","85605","AMER CLSC GOVT 1911 9MM 5"" 9RD CHR","IMPORT","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"124397","AFA1-45-BK-14","AMPF 1911 2ND CNTRY 45ACP 5"" 14RD BK","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"124398","AFA1-45-SS-14","AMPF 1911 2ND CNTRY 45ACP 5"" 14RD SS","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"124399","AFDP-45-BK-14","AMPF DUELLER PRSMTC 45ACP 5"" 14RD BK","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"124400","AFDP-45-SS-14","AMPF DUELLER PRSMTC 45ACP 5"" 14RD SS","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"124401","AFS1-9-BK-10","AMPF STRIKE ONE 9MM 5"" 10RD BLK","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"124404","AFS1-9-SL-10","AMPF STRIKE ONE 9MM 5"" 10RD SILVER","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"124402","AFS1-9-BK-17","AMPF STRIKE ONE 9MM 5"" 17RD BLK","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"124403","AFS1-9-OD-17","AMPF STRIKE ONE 9MM 5"" 17RD ODG","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"124405","AFS1-9-SL-17","AMPF STRIKE ONE 9MM 5"" 17RD SILVER","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"154243","AFS1E-9-GD-17-OR","AMPF STRIKE ONE ERGL 9MM 5"" 17RD GLD","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"124410","AFS1S-9-BK-17","AMPF STRIKE ONE SPD 9MM 5"" 17RD BLK","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"124411","AFS1S-9-DT-17","AMPF STRIKE ONE SPD 9MM 5"" 17RD SS","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"124407","AFS1EP-9-OG-17-OR","AMPF STRK 1 ERGL PRO 9MM 5"" 17RD ORG","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"124408","AFS1MII-9-BK-17","AMPF STRK 1 MK2 9MM 5.4"" TB 17RD BLK","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"124409","AFS1MII-9-SL-17","AMPF STRK 1 MK2 9MM 5.4"" TB 17RD SLV","American Precision Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"154773","ANGAA0906BB28","ANGSTADT 9MM 6"" AR BARREL 1/2X28","Angstadt Arms","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"154786","ANGAAEMILPCCT","ANGSTADT ARMS ENH AR-9 PCC TRIGGER","Angstadt Arms","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"154798","ANGAAUT009006","ANGSTADT CMPLT UPPR 9MM 6"" BLK","Angstadt Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154799","ANGAAUT109006","ANGSTADT CMPLT UPPR 9MM 6"" SUP RDY","Angstadt Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"125002","AAMDP29P06","ANGSTADT MDP-9 9MM PSTL 6"" 27RD BLK","ANGSTD","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"125003","AAMDP29PB6","ANGSTADT MDP-9 9MM PSTL 6"" 27RD BRZ","ANGSTD","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"125004","AAMDP29PF6","ANGSTADT MDP-9 9MM PSTL 6"" 27RD FDE","ANGSTD","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"125006","AAMDP29PJ6","ANGSTADT MDP-9 9MM PSTL 6"" 27RD JNGL","ANGSTD","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154791","ANGAAMDP29F06","ANGSTADT MDP-9 9MM SBR 6"" 27RD BLK","Angstadt Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154792","ANGAAMDP29FB6","ANGSTADT MDP-9 9MM SBR 6"" 27RD BRZ","Angstadt Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154793","ANGAAMDP29FF6","ANGSTADT MDP-9 9MM SBR 6"" 27RD FDE","Angstadt Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154794","ANGAAMDP29FJ6","ANGSTADT MDP-9 9MM SBR 6"" 27RD JUNG","Angstadt Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154795","ANGAAMDP29FS6","ANGSTADT MDP-9 9MM SBR 6"" 27RD SGRY","Angstadt Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154797","ANGAAUMDP0906","ANGSTADT MDP-9 CMPLT UPPR 9MM 6"" BLK","Angstadt Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154796","ANGAAUDP09S06","ANGSTADT UDP-9 9MM SBR 6"" 17RD BLK","Angstadt Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"125021","AAVIS09BF1","ANGSTADT VANQUISH 9MM ISB 10.5"" FDE","ANGSTD","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154801","ANGAAVAN09RF1","ANGSTADT VNQSH SBR 9MM 10.5 17RD FDE","Angstadt Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154800","ANGAAVAN09R01","ANGSTADT VNQSH SBR 9MM 10.5"" 17RD BK","Angstadt Arms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154876","APX102-115","APEX AET KIT FOR GLOCK PISTOLS","Apex Tactical Specialties","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154866","APX100-079","APEX ALUMINUM TRIGGER KIT M&P 9/40","Apex Tactical Specialties","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154871","APX100-179","APEX ALUMINUM TRIGGER KIT M&P M2.0","Apex Tactical Specialties","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154869","APX100-167","APEX CURVED FORWARD TRIGGER SET M2.0","Apex Tactical Specialties","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"154867","APX100-126","APEX POLYMER TRIGGER KIT M&P M2.0","Apex Tactical Specialties","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154852","APFRI282SG","APF GUARDIAN 556 16"" 30RD SNIPER GRY","Alex Pro Firearms","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"155029","ARMASPECARM212-BLK","ARMASPEC FULCRUM45 AMBI SELECTOR BLK","Armaspec","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"155030","ARMASPECARM213-BLK","ARMASPEC FULCRUM45/90 AMBI SLCTR BLK","Armaspec","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"154992","ARMASPEC235BLK","ARMASPEC XPDW STOCK GEN 2 BLK","Armaspec","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"124634","SAM7K-44","ARSENAL SAM7K PSTL 762 8.5"" 5RD BLK","Arsenal, Inc.","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"154462","AISAM7K-44","ARSENAL SAM7K PSTL 762 8.5"" 5RD BLK","Arsenal, Inc.","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"125558","ATICTARPB","ATI DISCRETE AR PISTOL BAG BLK","American Tactical","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"125562","ATICTDPCB","ATI DOUBLE PISTOL CASE BLK","American Tactical","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"125563","ATICTDPCT","ATI DOUBLE PISTOL CASE TAN","American Tactical","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"155198","ATIGERG1911ADOP","ATI GSG 1911 22LR 5"" 10RD FXSP BLK","American Tactical","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"125569","GERG1911ADOP","ATI GSG 1911 22LR 5"" 10RD FXSP BLK","American Tactical","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"125572","GERG2210M1911S","ATI GSG 1911 22LR 5"" 10RD TWO TONE","American Tactical","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155201","ATIGERG2210M1911S","ATI GSG 1911 22LR 5"" 10RD TWO TONE","American Tactical","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155200","ATIGERG2210M1911CA","ATI GSG M1911 22LR 5"" BL 10RD WD CA","American Tactical","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"125571","GERG2210M1911CA","ATI GSG M1911 22LR 5"" BL 10RD WD CA","American Tactical","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"125570","GERG2210M1911","ATI GSG M1911 22LR 5"" BL 10RD WD TB","American Tactical","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155199","ATIGERG2210M1911","ATI GSG M1911 22LR 5"" BL 10RD WD TB","American Tactical","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155204","ATIGERGMP409X","ATI GSG MP40P 9MM 10.8"" 25RD BLK","American Tactical","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"125575","GERGMP409X","ATI GSG MP40P 9MM 10.8"" 25RD BLK","American Tactical","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"125677","1911TCAC16","AUTO ORD 1911 1776 45ACP 5"" 7RD","AUTORD","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"182292","1911BKOC11","AUTO ORD 1911 45ACP 5"" 7R TANKER ODG","Auto Ordnance","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155291","AU1911BKO","AUTO ORD 1911 45ACP 5"" 7RD MATTE GI","Auto Ordnance","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"125674","1911BKO","AUTO ORD 1911 45ACP 5"" 7RD MATTE GI","Auto Ordnance","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155295","AU1911TCAC18","AUTO ORD 1911 45ACP 5"" 7RD TRUMP","Auto Ordnance","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"125678","1911TCAC18","AUTO ORD 1911 45ACP 5"" 7RD TRUMP","Auto Ordnance","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155293","AU1911BKOC12","AUTO ORD 1911 45ACP 5"" 7RD TRUMP BLK","Auto Ordnance","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"125676","1911BKOC12","AUTO ORD 1911 45ACP 5"" 7RD TRUMP BLK","Auto Ordnance","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"182293","1911BKOC15","AUTO ORD 1911 ARMY 250TH 45ACP 5""","Auto Ordnance","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"125675","1911BKO9W","AUTO ORD 1911A1 GI SPECS 9MM 5"" BLK","Auto Ordnance","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155292","AU1911BKO9W","AUTO ORD 1911A1 GI SPECS 9MM 5"" BLK","Auto Ordnance","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155308","AUTA5","AUTO ORD 1927A-1 DLX .45 10.5"" 50RD","Auto Ordnance","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"125692","TA5","AUTO ORD 1927A-1 DLX .45 10.5"" 50RD","Auto Ordnance","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155304","AUT1SB","AUTO ORD 1927A-1 SBR 10"" 45ACP 20RD","Auto Ordnance","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"155774","BANDT-361300","B&T APC10 PRO 10MM 6.9"" 15RD BLK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"126300","BT-361300","B&T APC10 PRO 10MM 6.9"" 15RD BLK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155775","BANDT-361300-SBR-MBT","B&T APC10 PRO SBR 10MM 6.9"" 30RD BLK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"126302","BT-361660-CT","B&T APC300 PRO 300BLK 11"" 30RD TAN","B&T","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"126304","BT-361660-K-US","B&T APC300K PRO PSTL 300BLK 11"" 30RD","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155778","BANDT-361660-K-US","B&T APC300K PRO PSTL 300BLK 11"" 30RD","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155765","BANDT-36044","B&T APC45 PRO 45ACP 6.8"" 25RD BLK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"126291","BT-36044","B&T APC45 PRO 45ACP 6.8"" 25RD BLK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155767","BANDT-36044-SBR-MBT","B&T APC45 PRO SBR 45ACP 6.8"" 25RD","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"155821","BANDT36044SBRSDTSKIT","B&T APC45 PROSD SBR 45ACP 30RD W/SUP","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"155766","BANDT-36044-K-SBR-TS","B&T APC45K PRO SBR 45ACP 5.5"" 25RD","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"155784","BANDT-361836","B&T APC9 MP5 LWR TRIGGER GROUP ALLOY","B&T USA","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"155762","BANDT-36039","B&T APC9 PRO 9MM 6.8"" 30RD BLK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"126288","BT-36039","B&T APC9 PRO 9MM 6.8"" 30RD BLK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155763","BANDT-36039-CT","B&T APC9 PRO 9MM 6.8"" 30RD TAN","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"126289","BT-36039-CT","B&T APC9 PRO 9MM 6.8"" 30RD TAN","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155772","BANDT-36046-G","B&T APC9 PRO SBR 9MM 5.7"" 33R GLK BK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"155779","BANDT-361669","B&T APC9 PRO TRIGGER GROUP ALLOY","B&T USA","Handguns","Parts","Not an actual firearm - appears to be parts","true"
"182296","BT-36046-SBR-MBT-KIT","B&T APC9 SD PRO SBR 9MM 5.7"" MBT BLK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"126306","BT-361765-02","B&T APC9K 9MM 4.3"" 30RD W/ADAPTR BLK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155780","BANDT-361765-02","B&T APC9K 9MM 4.3"" 30RD W/ADAPTR BLK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155781","BANDT-361765-02-CT","B&T APC9K 9MM 4.3"" 30RD W/ADAPTR TAN","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"126307","BT-361765-02-CT","B&T APC9K 9MM 4.3"" 30RD W/ADAPTR TAN","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"126309","BT-361765-02-G-CT","B&T APC9K 9MM 4.3"" 33RD GLK W/ADP TN","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155783","BANDT-361765-02-G-CT","B&T APC9K 9MM 4.3"" 33RD GLK W/ADP TN","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"126308","BT-361765-02-G","B&T APC9K 9MM 4.3"" 33RD GLK W/ADPTR","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155782","BANDT-361765-02-G","B&T APC9K 9MM 4.3"" 33RD GLK W/ADPTR","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155768","BANDT-36045-CT","B&T APC9K PRO 9MM 4.3"" 30RD COY TAN","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"126294","BT-36045-CT","B&T APC9K PRO 9MM 4.3"" 30RD COY TAN","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155770","BANDT-36045-G-CT","B&T APC9K PRO 9MM 4.3"" 33RD GLK TAN","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"126296","BT-36045-G-CT","B&T APC9K PRO 9MM 4.3"" 33RD GLK TAN","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"126295","BT-36045-G","B&T APC9K PRO 9MM 5.5"" 33RD GLK PTMG","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155769","BANDT-36045-G","B&T APC9K PRO 9MM 5.5"" 33RD GLK PTMG","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155825","BANDT36176502SBRGCTTS","B&T APC9K SBR 9MM 4.3"" 30RD COY GLK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"155822","BANDT36045SDSBRKIT","B&T APC9K SD SBR 9MM 4.3"" 30RD W/SUP","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"155823","BANDT36046CSBRTSKIT","B&T APC9SD PRO SBR 9MM 30R CMPCT SUP","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"155824","BANDT36046SCSBRTSKIT","B&T APC9SD PRO SBR 9MM SUB CMPCT SUP","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"126320","BT-450004","B&T GHM45 PSTL 45ACP 6.85"" 25RD BLK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"155791","BANDT-450004","B&T GHM45 PSTL 45ACP 6.85"" 25RD BLK","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","true"
"155793","BANDT-450008-G","B&T GHM9 G2 CMP 9MM 4"" 33RD GLK PTMG","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
"126322","BT-450008-G","B&T GHM9 G2 CMP 9MM 4"" 33RD GLK PTMG","B&T USA","Handguns","Accessories","Not an actual firearm - appears to be accessories","false"
